to_station_id,to_station_name,,,,,"=RIGHT(A2,FIND(""-"",A2)-2)","=LEFT(A1,FIND(""-"",A1)-1)","=IF(COUNTIF(B1,""occidental""),""Yes"",""No"")"
SLU-04,Republican St & Westlake Ave N,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
SLU-20,Terry Ave & Stewart St,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
EL-05,Eastlake Ave E & E Allison St,,,,,,,
BT-04,6th Ave & Blanchard St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
CH-12,Bellevue Ave & E Pine St,,,,,,,
ID-04,6th Ave S & S King St,,,,,,,
SLU-17,Lake Union Park / Valley St & Boren Ave N,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
CH-05,15th Ave E & E Thomas St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
CH-08,Cal Anderson Park / 11th Ave & Pine St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
SLU-17,Lake Union Park / Valley St & Boren Ave N,,,,,,,
CH-09,Harvard Ave & E Pine St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
UD-01,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
CH-09,Harvard Ave & E Pine St,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
CBD-06,2nd Ave & Spring St,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
UW-04,15th Ave NE & NE 40th St,,,,,,,
CBD-03,7th Ave & Union St,,,,,,,
FH-04,Seattle University / E Columbia St & 12th Ave,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
CH-06,12th Ave & E Denny Way,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
ID-04,6th Ave S & S King St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
CH-03,Summit Ave E & E Republican St,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
UD-01,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
CBD-04,Union St & 4th Ave,,,,,,,
CH-07,E Pine St & 16th Ave,,,,,,,
UW-02,Burke Museum / E Stevens Way NE & Memorial Way NE,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
CBD-06,2nd Ave & Spring St,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
CD-01,12th Ave & E Yesler Way,,,,,,,
SLU-17,Lake Union Park / Valley St & Boren Ave N,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
CH-07,E Pine St & 16th Ave,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
CH-12,Bellevue Ave & E Pine St,,,,,,,
BT-04,6th Ave & Blanchard St,,,,,,,
SLU-16,Pine St & 9th Ave,,,,,,,
SLU-17,Lake Union Park / Valley St & Boren Ave N,,,,,,,
DPD-03,Children's Hospital / Sandpoint Way NE & 40th Ave NE,,,,,,,
CBD-06,2nd Ave & Spring St,,,,,,,
SLU-16,Pine St & 9th Ave,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
SLU-16,Pine St & 9th Ave,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
EL-03,E Blaine St & Fairview Ave E,,,,,,,
SLU-18,Dexter Ave & Denny Way,,,,,,,
CH-02,E Harrison St & Broadway Ave E,,,,,,,
