birthyear,(All),,,,,
,,,,,,
,Column Labels,,,,,
,Female,,Male,,Total Total trip time,Total Average trip time
Row Labels,Total trip time,Average trip time,Total trip time,Average trip time,,
22-Aug,"1,540","1,540","9,363","4,681","10,903","3,634"
23-Aug,430,430,894,447,"1,325",442
25-Aug,"2,004","1,002","1,101",550,"3,105",776
26-Aug,573,573,"1,210",605,"1,783",594
27-Aug,,,433,433,433,433
29-Aug,644,644,"2,050",683,"2,694",674
30-Aug,,,764,382,764,382
31-Aug,,,"1,125","1,125","1,125","1,125"
1-Sep,,,"1,778","1,778","1,778","1,778"
2-Sep,,,426,426,426,426
3-Sep,579,579,"2,549",850,"3,128",782
4-Sep,396,396,"1,263","1,263","1,660",830
5-Sep,"1,090","1,090",918,918,"2,008","1,004"
7-Sep,,,"1,210","1,210","1,210","1,210"
8-Sep,"1,537","1,537","1,101","1,101","2,638","1,319"
9-Sep,"1,362","1,362","1,560",780,"2,922",974
10-Sep,862,862,"2,436","1,218","3,298","1,099"
11-Sep,510,510,"2,444",815,"2,954",738
12-Sep,"3,614",904,"5,334","1,067","8,949",994
14-Sep,,,"1,644",822,"1,644",822
15-Sep,443,443,"2,871","1,436","3,314","1,105"
16-Sep,,,459,459,459,459
17-Sep,,,519,519,519,519
19-Sep,545,545,"3,382",846,"3,928",786
20-Sep,,,"1,195","1,195","1,195","1,195"
21-Sep,"1,299","1,299","1,176","1,176","2,475","1,237"
22-Sep,"2,815",938,"1,143","1,143","3,958",990
23-Sep,"10,354","5,177",,,"10,354","5,177"
24-Sep,"18,042","4,511","17,112","5,704","35,154","5,022"
25-Sep,,,"1,143","1,143","1,143","1,143"
26-Sep,591,591,"2,370","1,185","2,961",987
27-Sep,"1,130","1,130",,,"1,130","1,130"
28-Sep,515,515,,,515,515
30-Sep,,,778,778,778,778
1-Oct,505,505,580,580,"1,084",542
3-Oct,801,801,553,553,"1,354",677
5-Oct,,,"1,304","1,304","1,304","1,304"
6-Oct,,,"1,353",677,"1,353",677
8-Oct,593,593,"1,337",669,"1,931",644
9-Oct,"1,298","1,298","2,154","1,077","3,451","1,150"
10-Oct,306,306,693,693,999,499
12-Oct,498,498,"1,618",539,"2,116",529
FH-01,"40,300",937,"194,983",717,"235,283",747
1-Aug,,,753,377,753,377
2-Aug,,,"1,823",912,"1,823",912
3-Aug,580,580,"2,747",458,"3,327",475
4-Aug,421,421,"1,958",979,"2,379",793
5-Aug,522,522,"2,131",533,"2,653",531
6-Aug,"1,498",749,"1,464",732,"2,962",741
7-Aug,"8,007","2,002",935,935,"8,943","1,789"
8-Aug,,,"1,400",700,"1,400",700
9-Aug,,,"1,461",730,"1,461",730
10-Aug,448,448,"1,088",544,"1,535",512
11-Aug,520,520,"4,778","1,593","5,298","1,324"
12-Aug,510,510,"1,364",682,"1,873",624
13-Aug,,,"4,167","1,389","4,167","1,389"
14-Aug,447,447,"1,984",992,"2,431",810
15-Aug,521,521,"2,951",738,"3,471",694
16-Aug,,,"1,156",385,"1,156",385
17-Aug,546,546,"6,111",764,"6,657",740
18-Aug,424,424,"2,905",581,"3,329",555
19-Aug,,,"3,501",500,"3,501",500
20-Aug,,,"4,871",696,"4,871",696
21-Aug,,,"3,509",702,"3,509",702
22-Aug,,,779,390,779,390
23-Aug,,,989,495,989,495
24-Aug,,,"6,072","1,012","6,072","1,012"
25-Aug,,,"2,428",809,"2,428",809
26-Aug,"1,364","1,364","1,088",544,"2,452",817
27-Aug,533,533,"6,079",868,"6,612",827
28-Aug,906,906,"4,411",551,"5,317",591
29-Aug,,,716,358,716,358
30-Aug,,,"3,619",905,"3,619",905
31-Aug,,,"1,103","1,103","1,103","1,103"
1-Sep,,,"3,904",781,"3,904",781
2-Sep,"3,398","1,133","5,136",856,"8,534",948
3-Sep,492,492,"5,011","1,002","5,504",917
4-Sep,,,"2,102",525,"2,102",525
5-Sep,,,"1,003","1,003","1,003","1,003"
6-Sep,,,"3,242","1,621","3,242","1,621"
7-Sep,,,924,462,924,462
8-Sep,546,546,"2,799",467,"3,346",478
9-Sep,699,699,"4,042","1,011","4,741",948
10-Sep,536,536,"2,363",788,"2,898",725
11-Sep,755,755,"3,383",846,"4,138",828
12-Sep,"1,225",613,"3,756",939,"4,981",830
13-Sep,,,"1,833",458,"1,833",458
14-Sep,839,420,"1,089",544,"1,928",482
15-Sep,,,"3,434",858,"3,434",858
16-Sep,,,"2,228",557,"2,228",557
17-Sep,,,"3,635",606,"3,635",606
18-Sep,443,443,"3,584",597,"4,027",575
19-Sep,,,"4,082","1,021","4,082","1,021"
20-Sep,287,287,"1,291",645,"1,578",526
21-Sep,638,638,"4,543",909,"5,181",864
22-Sep,423,423,"2,385",596,"2,809",562
23-Sep,,,787,394,787,394
24-Sep,,,"5,300",662,"5,300",662
25-Sep,,,"3,061",612,"3,061",612
26-Sep,,,"1,287",429,"1,287",429
28-Sep,,,426,426,426,426
29-Sep,,,"3,724",532,"3,724",532
30-Sep,,,789,394,789,394
1-Oct,,,"4,292",537,"4,292",537
2-Oct,370,370,"3,581","1,194","3,951",988
3-Oct,,,"3,646","1,215","3,646","1,215"
4-Oct,"7,467","7,467","1,162",387,"8,629","2,157"
5-Oct,,,"3,557","1,186","3,557","1,186"
6-Oct,,,"3,257",543,"3,257",543
7-Oct,,,754,754,754,754
8-Oct,916,916,"4,691",670,"5,606",701
9-Oct,757,757,"1,716",429,"2,474",495
10-Oct,"1,470",735,"1,121",561,"2,591",648
11-Oct,,,"5,019","1,255","5,019","1,255"
12-Oct,"1,791",895,702,351,"2,492",623
FH-04,"45,720",618,"209,108",651,"254,828",645
1-Aug,,,855,428,855,428
2-Aug,,,"1,429",476,"1,429",476
3-Aug,673,336,"4,661",583,"5,334",533
4-Aug,316,316,"1,712",571,"2,028",507
5-Aug,410,410,"2,179",545,"2,589",518
6-Aug,637,319,"2,642",528,"3,280",469
7-Aug,588,588,"2,513",503,"3,100",517
8-Aug,653,653,430,430,"1,083",542
9-Aug,708,708,"1,077",539,"1,785",595
10-Aug,,,"3,674",612,"3,674",612
11-Aug,330,330,"3,297",659,"3,627",604
12-Aug,"1,323",441,"4,409",735,"5,732",637
13-Aug,357,357,"4,410",630,"4,767",596
14-Aug,436,436,"3,124",625,"3,559",593
15-Aug,,,"1,091",546,"1,091",546
17-Aug,545,545,"4,400",629,"4,945",618
18-Aug,169,169,"2,766",553,"2,934",489
19-Aug,,,"5,217","1,043","5,217","1,043"
20-Aug,385,385,"19,488","3,248","19,873","2,839"
21-Aug,326,326,"1,640",547,"1,967",492
22-Aug,,,"1,171",586,"1,171",586
23-Aug,"1,009","1,009",926,463,"1,935",645
24-Aug,341,341,"5,740",957,"6,081",869
25-Aug,"1,043",521,"2,345",586,"3,387",565
26-Aug,"1,422","1,422","3,575",715,"4,997",833
27-Aug,"2,334","1,167","2,174",544,"4,508",751
28-Aug,"1,735",867,543,543,"2,277",759
30-Aug,,,"1,408",704,"1,408",704
31-Aug,"1,021",511,"3,040",760,"4,061",677
1-Sep,,,"2,132",533,"2,132",533
2-Sep,311,311,"2,313",578,"2,624",525
3-Sep,,,"3,028",606,"3,028",606
4-Sep,,,"2,443",611,"2,443",611
5-Sep,929,465,"1,015",508,"1,944",486
6-Sep,347,347,343,343,691,345
7-Sep,,,"3,234",809,"3,234",809
8-Sep,483,483,"2,050",683,"2,533",633
9-Sep,"1,159","1,159","3,723",621,"4,882",697
10-Sep,"1,252",626,"3,792",632,"5,044",631
11-Sep,,,"2,297",574,"2,297",574
12-Sep,498,498,"1,925",481,"2,423",485
13-Sep,,,"1,783",594,"1,783",594
14-Sep,330,330,"4,475",639,"4,805",601
15-Sep,,,"2,844",569,"2,844",569
16-Sep,"1,344",672,"4,009",501,"5,353",535
17-Sep,958,958,"4,036",673,"4,994",713
18-Sep,873,873,"2,889",722,"3,763",753
19-Sep,532,532,"2,035",678,"2,567",642
20-Sep,,,"2,486",497,"2,486",497
21-Sep,329,329,"5,604",623,"5,933",593
22-Sep,"1,413",706,"5,289",529,"6,702",559
23-Sep,"2,516",503,"2,627",525,"5,143",514
24-Sep,"2,547",849,"2,546",509,"5,094",637
25-Sep,921,921,"2,408",482,"3,329",555
26-Sep,419,419,"2,006",501,"2,425",485
27-Sep,,,"2,824",706,"2,824",706
28-Sep,"1,204","1,204","6,117",612,"7,321",666
29-Sep,"1,136","1,136","3,678",613,"4,815",688
30-Sep,"1,044","1,044","2,462",492,"3,507",584
1-Oct,"1,663",832,"3,481",580,"5,145",643
2-Oct,"2,012","1,006","1,289",430,"3,301",660
3-Oct,393,393,,,393,393
4-Oct,,,"1,372",457,"1,372",457
5-Oct,276,276,"4,448",741,"4,724",675
6-Oct,709,709,"3,703",617,"4,412",630
7-Oct,,,"2,261",565,"2,261",565
8-Oct,"2,133",711,"2,430",486,"4,563",570
9-Oct,385,385,"2,012",503,"2,397",479
10-Oct,,,841,420,841,420
11-Oct,,,"1,587",529,"1,587",529
12-Oct,837,418,"5,334",667,"6,171",617
ID-04,"13,767",983,"65,187",881,"78,954",897
1-Aug,,,"1,862",931,"1,862",931
3-Aug,,,"3,722",930,"3,722",930
4-Aug,,,"2,005",668,"2,005",668
5-Aug,,,"1,979",989,"1,979",989
7-Aug,896,896,"4,259","1,065","5,155","1,031"
10-Aug,737,737,,,737,737
11-Aug,,,"2,047",682,"2,047",682
13-Aug,,,"1,070","1,070","1,070","1,070"
19-Aug,,,"1,153","1,153","1,153","1,153"
21-Aug,,,314,314,314,314
22-Aug,"1,463","1,463",809,809,"2,272","1,136"
24-Aug,,,999,499,999,499
25-Aug,,,913,913,913,913
26-Aug,,,263,263,263,263
27-Aug,,,"2,060","2,060","2,060","2,060"
28-Aug,,,798,798,798,798
29-Aug,,,235,235,235,235
30-Aug,,,"3,098","1,549","3,098","1,549"
31-Aug,,,"1,103","1,103","1,103","1,103"
2-Sep,"2,619","2,619","1,348",674,"3,967","1,322"
3-Sep,375,375,"1,284",642,"1,659",553
4-Sep,,,"1,561",780,"1,561",780
5-Sep,,,"1,654","1,654","1,654","1,654"
7-Sep,877,877,877,877,"1,754",877
8-Sep,,,334,334,334,334
9-Sep,,,"1,682",841,"1,682",841
10-Sep,,,660,330,660,330
11-Sep,430,430,,,430,430
15-Sep,,,"1,456","1,456","1,456","1,456"
16-Sep,525,525,,,525,525
18-Sep,"1,016","1,016",262,262,"1,277",639
19-Sep,"1,557","1,557","4,873","1,624","6,430","1,608"
20-Sep,"1,293","1,293","1,318","1,318","2,611","1,306"
22-Sep,,,"1,759",880,"1,759",880
23-Sep,,,"1,502","1,502","1,502","1,502"
24-Sep,,,"3,847",962,"3,847",962
26-Sep,,,264,264,264,264
27-Sep,,,"3,235",647,"3,235",647
28-Sep,,,428,428,428,428
29-Sep,390,390,"2,581","1,290","2,971",990
30-Sep,,,302,302,302,302
2-Oct,,,397,397,397,397
4-Oct,705,705,,,705,705
5-Oct,,,"1,245","1,245","1,245","1,245"
6-Oct,,,"2,129","1,065","2,129","1,065"
8-Oct,884,884,899,899,"1,783",892
10-Oct,,,600,600,600,600
PS-04,"41,290",751,"200,165","1,006","241,455",951
1-Aug,864,432,"2,725",908,"3,589",718
3-Aug,633,633,594,594,"1,226",613
4-Aug,,,"11,471","1,639","11,471","1,639"
5-Aug,"1,239","1,239","3,008","1,003","4,247","1,062"
6-Aug,,,"1,618",809,"1,618",809
7-Aug,"2,312",578,"2,479",826,"4,791",684
8-Aug,"1,006","1,006","1,090","1,090","2,095","1,048"
9-Aug,,,596,596,596,596
10-Aug,,,595,595,595,595
11-Aug,551,551,"6,045","1,209","6,596","1,099"
12-Aug,"1,188",594,982,327,"2,170",434
13-Aug,"2,150",717,886,886,"3,036",759
16-Aug,"1,159","1,159","1,960",980,"3,119","1,040"
17-Aug,,,"1,116",372,"1,116",372
18-Aug,727,727,"6,804","1,134","7,532","1,076"
19-Aug,"3,897",974,"3,899",975,"7,796",974
20-Aug,544,544,399,399,943,472
21-Aug,355,355,"1,971",986,"2,326",775
22-Aug,,,"1,283",642,"1,283",642
23-Aug,,,692,346,692,346
24-Aug,"2,754","1,377","1,869",623,"4,622",924
25-Aug,365,365,"6,380","1,595","6,745","1,349"
26-Aug,,,"1,645",411,"1,645",411
27-Aug,,,"4,170",695,"4,170",695
28-Aug,,,"18,247","4,562","18,247","4,562"
29-Aug,,,239,239,239,239
30-Aug,279,279,"3,878",969,"4,156",831
31-Aug,,,"1,023","1,023","1,023","1,023"
1-Sep,,,"7,090","1,773","7,090","1,773"
2-Sep,,,"2,535",634,"2,535",634
3-Sep,378,378,"3,529",588,"3,906",558
4-Sep,728,728,"3,600",900,"4,327",865
5-Sep,919,919,"2,810",937,"3,729",932
6-Sep,,,750,750,750,750
7-Sep,,,281,281,281,281
8-Sep,,,"9,391","1,342","9,391","1,342"
9-Sep,"1,679",560,"1,163",388,"2,843",474
10-Sep,210,210,"3,924",785,"4,135",689
11-Sep,"1,027",514,"2,461",820,"3,488",698
12-Sep,"1,125","1,125",,,"1,125","1,125"
14-Sep,,,"6,606","6,606","6,606","6,606"
15-Sep,,,"8,064","1,344","8,064","1,344"
16-Sep,623,623,759,759,"1,382",691
17-Sep,,,"1,221",611,"1,221",611
18-Sep,543,543,,,543,543
19-Sep,,,269,269,269,269
21-Sep,,,"2,741",914,"2,741",914
22-Sep,886,886,"6,669","1,334","7,555","1,259"
23-Sep,"3,512",702,"6,063",866,"9,575",798
24-Sep,,,177,177,177,177
25-Sep,"2,694","1,347",755,755,"3,449","1,150"
26-Sep,721,721,"1,833",917,"2,555",852
27-Sep,883,883,436,436,"1,319",660
28-Sep,"1,700","1,700","2,425",606,"4,125",825
29-Sep,,,"8,325","1,388","8,325","1,388"
30-Sep,,,"2,460",615,"2,460",615
1-Oct,"1,384","1,384",993,497,"2,377",792
2-Oct,,,"4,061","1,015","4,061","1,015"
3-Oct,859,859,478,478,"1,336",668
4-Oct,643,643,"3,137",784,"3,780",756
5-Oct,288,288,"2,628",876,"2,916",729
6-Oct,,,"6,017","1,003","6,017","1,003"
7-Oct,,,"1,498",749,"1,498",749
8-Oct,,,"2,247",749,"2,247",749
9-Oct,,,"1,919",640,"1,919",640
11-Oct,,,874,874,874,874
12-Oct,465,465,"2,309",577,"2,774",555
PS-05,"21,506",978,"258,577",914,"280,083",918
1-Aug,,,"3,530",883,"3,530",883
2-Aug,,,"1,961",981,"1,961",981
3-Aug,738,738,"3,409",852,"4,147",829
4-Aug,314,314,"5,852","1,463","6,166","1,233"
5-Aug,786,786,"2,265",755,"3,051",763
6-Aug,,,"4,348",870,"4,348",870
7-Aug,,,"8,667","1,444","8,667","1,444"
8-Aug,585,585,"2,413","1,207","2,998",999
10-Aug,"1,910",955,"2,760",690,"4,670",778
11-Aug,721,721,"8,086","1,155","8,807","1,101"
12-Aug,733,733,"3,227",645,"3,960",660
13-Aug,,,"6,879","1,147","6,879","1,147"
14-Aug,,,"3,105","1,035","3,105","1,035"
15-Aug,362,362,705,705,"1,067",534
16-Aug,,,"3,978","1,326","3,978","1,326"
17-Aug,,,"2,880",720,"2,880",720
18-Aug,"1,671","1,671","8,706","1,088","10,377","1,153"
19-Aug,,,"3,515",879,"3,515",879
20-Aug,"1,259","1,259","2,638",879,"3,896",974
21-Aug,,,"11,291","1,255","11,291","1,255"
22-Aug,,,"2,553","1,276","2,553","1,276"
23-Aug,,,"1,591","1,591","1,591","1,591"
24-Aug,"1,099","1,099","4,110",822,"5,209",868
25-Aug,923,923,"7,532",753,"8,456",769
26-Aug,,,"3,689",922,"3,689",922
27-Aug,,,"3,683",737,"3,683",737
28-Aug,,,"3,788",947,"3,788",947
30-Aug,"4,036","1,345","3,960","1,320","7,996","1,333"
31-Aug,,,"1,132","1,132","1,132","1,132"
1-Sep,,,"6,194","1,032","6,194","1,032"
2-Sep,,,"1,825",913,"1,825",913
3-Sep,,,"5,736",819,"5,736",819
4-Sep,,,"8,171","1,021","8,171","1,021"
5-Sep,,,"1,240","1,240","1,240","1,240"
8-Sep,,,"3,983",797,"3,983",797
9-Sep,,,"4,973",995,"4,973",995
10-Sep,,,"5,326",888,"5,326",888
11-Sep,,,"7,646",850,"7,646",850
14-Sep,,,"4,246",849,"4,246",849
15-Sep,,,"4,077",815,"4,077",815
16-Sep,,,"5,107",730,"5,107",730
17-Sep,,,"1,710",570,"1,710",570
18-Sep,,,"3,921",980,"3,921",980
21-Sep,,,"3,691",738,"3,691",738
22-Sep,,,"4,818",964,"4,818",964
23-Sep,852,852,"7,870",787,"8,723",793
24-Sep,,,"4,473",895,"4,473",895
25-Sep,890,890,"1,406",703,"2,296",765
26-Sep,,,657,657,657,657
27-Sep,,,323,323,323,323
28-Sep,,,"4,905",818,"4,905",818
29-Sep,,,"5,274",879,"5,274",879
30-Sep,"2,964","1,482","4,818",688,"7,782",865
1-Oct,,,"5,515",788,"5,515",788
2-Oct,,,"4,710",942,"4,710",942
4-Oct,,,"1,179","1,179","1,179","1,179"
5-Oct,,,"3,454",864,"3,454",864
6-Oct,312,312,"5,525",921,"5,836",834
7-Oct,,,"1,521",761,"1,521",761
8-Oct,"1,351","1,351","3,383",846,"4,735",947
9-Oct,,,"3,789",758,"3,789",758
11-Oct,,,903,903,903,903
12-Oct,,,"3,956",791,"3,956",791
SLU-01,"48,616",838,"365,820",570,"414,436",592
1-Aug,514,514,"7,732",859,"8,246",825
2-Aug,,,"2,100",420,"2,100",420
3-Aug,583,291,"7,091",545,"7,673",512
4-Aug,,,"7,888",563,"7,888",563
5-Aug,"3,081",770,"10,271",642,"13,352",668
6-Aug,"3,233","1,078","8,911",495,"12,143",578
7-Aug,"3,714",743,"8,730",582,"12,443",622
8-Aug,879,879,"3,045",381,"3,923",436
9-Aug,,,"2,345",586,"2,345",586
10-Aug,,,"6,992",538,"6,992",538
11-Aug,315,315,"23,257","1,224","23,571","1,179"
12-Aug,,,"17,604","1,174","17,604","1,174"
13-Aug,"1,026",513,"10,249",641,"11,275",626
14-Aug,,,"4,429",443,"4,429",443
15-Aug,987,494,"5,158",737,"6,145",683
16-Aug,,,"2,611",870,"2,611",870
17-Aug,325,325,"7,116",593,"7,441",572
18-Aug,,,"5,955",541,"5,955",541
19-Aug,875,875,"8,854",632,"9,729",649
20-Aug,343,343,"7,511",537,"7,854",524
21-Aug,"2,359",786,"8,027",669,"10,386",692
22-Aug,629,315,"3,482",580,"4,111",514
23-Aug,,,"1,757",586,"1,757",586
24-Aug,,,"4,821",438,"4,821",438
25-Aug,,,"3,480",435,"3,480",435
26-Aug,"2,042","1,021","8,865",492,"10,907",545
27-Aug,,,"4,912",447,"4,912",447
28-Aug,,,"4,630",514,"4,630",514
29-Aug,,,"2,367","1,183","2,367","1,183"
30-Aug,,,"2,143",357,"2,143",357
31-Aug,703,703,"5,123",427,"5,826",448
1-Sep,"1,280","1,280","4,114",514,"5,394",599
2-Sep,,,"8,972",641,"8,972",641
3-Sep,417,417,"3,657",457,"4,074",453
4-Sep,"1,469","1,469","8,170",481,"9,639",535
5-Sep,,,"1,606",535,"1,606",535
6-Sep,,,"1,556",778,"1,556",778
7-Sep,"1,633","1,633","2,803",701,"4,437",887
8-Sep,599,599,"4,190",524,"4,789",532
9-Sep,,,"5,547",555,"5,547",555
10-Sep,"9,274","9,274","3,004",429,"12,278","1,535"
11-Sep,863,863,"5,487",610,"6,350",635
12-Sep,,,302,302,302,302
13-Sep,,,"1,713",343,"1,713",343
14-Sep,"1,037","1,037","3,202",534,"4,239",606
15-Sep,,,"3,371",421,"3,371",421
16-Sep,,,"6,206",690,"6,206",690
17-Sep,729,364,"3,225",403,"3,954",395
18-Sep,162,162,"4,947",450,"5,110",426
19-Sep,376,376,578,289,953,318
20-Sep,,,693,347,693,347
21-Sep,,,"7,136",549,"7,136",549
22-Sep,"1,231","1,231","2,740",457,"3,970",567
23-Sep,,,"5,827",583,"5,827",583
24-Sep,,,"7,526",443,"7,526",443
25-Sep,866,433,"5,879",452,"6,744",450
26-Sep,586,293,"2,063",516,"2,649",442
27-Sep,,,617,308,617,308
28-Sep,,,"5,944",540,"5,944",540
29-Sep,869,869,"5,130",366,"5,999",400
30-Sep,539,539,"5,733",573,"6,271",570
1-Oct,"1,349","1,349","4,939",449,"6,288",524
2-Oct,569,285,"3,203",400,"3,772",377
3-Oct,,,"1,338",669,"1,338",669
4-Oct,,,"1,818",909,"1,818",909
5-Oct,,,"3,171",528,"3,171",528
6-Oct,,,"2,678",536,"2,678",536
7-Oct,,,"3,993",570,"3,993",570
8-Oct,931,931,"3,555",593,"4,487",641
9-Oct,260,260,"3,290",548,"3,550",507
10-Oct,,,"1,367",684,"1,367",684
11-Oct,201,201,460,460,661,331
12-Oct,"1,768","1,768","6,616",662,"8,385",762
SLU-02,"77,217",750,"242,882",530,"320,099",571
1-Aug,"1,691","1,691","1,431","1,431","3,122","1,561"
3-Aug,"1,050",525,"4,684",669,"5,734",637
4-Aug,"2,231",744,"3,586",512,"5,816",582
5-Aug,"2,026",506,"4,438",403,"6,464",431
6-Aug,"1,484",495,"4,000",571,"5,484",548
7-Aug,"1,125",563,"2,308",462,"3,434",491
8-Aug,,,"1,903",951,"1,903",951
9-Aug,,,251,251,251,251
10-Aug,"1,031",515,"7,670","1,534","8,701","1,243"
11-Aug,"1,212",606,"4,346",483,"5,558",505
12-Aug,"1,704",568,"6,396",640,"8,101",623
13-Aug,"1,207",604,"3,164",527,"4,371",546
14-Aug,"1,108",369,"4,628",514,"5,735",478
15-Aug,460,460,"2,295","1,148","2,755",918
16-Aug,,,339,339,339,339
17-Aug,"1,154",577,"4,926",616,"6,081",608
18-Aug,"7,392","2,464","4,516",452,"11,908",916
19-Aug,"2,062",687,"6,418",642,"8,480",652
20-Aug,"1,526",509,"7,390",672,"8,916",637
21-Aug,"1,567",522,"6,927",630,"8,494",607
22-Aug,,,508,508,508,508
23-Aug,,,781,390,781,390
24-Aug,538,538,"4,166",417,"4,704",428
25-Aug,"2,300","1,150","7,634",587,"9,934",662
26-Aug,"1,123",561,"5,011",418,"6,133",438
27-Aug,541,541,"5,665",567,"6,207",564
28-Aug,685,685,"3,838",548,"4,523",565
29-Aug,,,"1,905",953,"1,905",953
30-Aug,,,"1,741",580,"1,741",580
31-Aug,"1,109",555,"2,936",367,"4,045",405
1-Sep,576,576,"2,158",432,"2,734",456
2-Sep,574,574,"3,829",425,"4,403",440
3-Sep,560,560,"3,473",386,"4,032",403
4-Sep,556,556,"3,566",446,"4,123",458
5-Sep,,,"1,090",545,"1,090",545
6-Sep,,,"1,256",628,"1,256",628
7-Sep,,,"2,111","1,055","2,111","1,055"
8-Sep,585,585,"3,121",446,"3,706",463
9-Sep,"1,060",530,"4,482",560,"5,543",554
10-Sep,538,538,"3,545",394,"4,083",408
11-Sep,489,489,"4,584",458,"5,074",461
12-Sep,"1,323","1,323","1,303","1,303","2,626","1,313"
13-Sep,514,514,,,514,514
14-Sep,"1,773",887,"3,068",511,"4,841",605
15-Sep,"1,610",805,"4,657",466,"6,267",522
16-Sep,"3,566",892,"6,491",464,"10,057",559
17-Sep,"1,879",940,"4,248",386,"6,127",471
18-Sep,"3,221",805,"4,457",446,"7,678",548
19-Sep,,,379,379,379,379
20-Sep,351,351,663,663,"1,014",507
21-Sep,531,531,"2,237",373,"2,767",395
22-Sep,"2,124",708,"5,538",615,"7,662",639
23-Sep,"2,085","1,043","3,631",519,"5,716",635
24-Sep,"1,997",998,"2,337",390,"4,334",542
25-Sep,535,535,"2,878",411,"3,413",427
26-Sep,"1,450","1,450","2,142","1,071","3,593","1,198"
27-Sep,"1,195","1,195",,,"1,195","1,195"
28-Sep,"1,736",868,"5,705",519,"7,441",572
29-Sep,"1,913",957,"6,876",625,"8,789",676
30-Sep,591,591,"4,267",533,"4,858",540
1-Oct,,,"6,466",539,"6,466",539
2-Oct,"1,266","1,266","5,882",535,"7,148",596
3-Oct,,,362,362,362,362
4-Oct,"1,313","1,313",344,344,"1,657",828
5-Oct,,,"2,936",734,"2,936",734
6-Oct,512,512,"4,217",469,"4,729",473
7-Oct,978,489,,,978,489
8-Oct,517,517,"4,826",483,"5,343",486
9-Oct,574,574,"3,115",445,"3,690",461
11-Oct,709,709,699,699,"1,408",704
12-Oct,"1,694",847,"4,139",460,"5,832",530
SLU-04,"40,715",679,"243,598",564,"284,313",578
1-Aug,"2,066","2,066","1,127",564,"3,193","1,064"
2-Aug,,,830,830,830,830
3-Aug,419,419,"17,749","3,550","18,167","3,028"
4-Aug,"1,348",674,"6,298",450,"7,646",478
5-Aug,412,412,"4,386",627,"4,798",600
6-Aug,402,402,"1,430",477,"1,831",458
7-Aug,"1,860",620,"3,726",621,"5,586",621
8-Aug,"2,451","1,225","1,943",971,"4,394","1,098"
9-Aug,,,625,313,625,313
10-Aug,228,228,"1,939",485,"2,166",433
11-Aug,"1,991",664,"5,957",496,"7,948",530
12-Aug,"1,049",524,"2,280",570,"3,329",555
13-Aug,396,396,"6,441",537,"6,837",526
14-Aug,364,364,"2,902",484,"3,266",467
15-Aug,"1,811","1,811",,,"1,811","1,811"
16-Aug,,,"2,022",674,"2,022",674
17-Aug,"1,612",537,"4,252",472,"5,864",489
18-Aug,943,472,"4,037",449,"4,980",453
19-Aug,975,488,766,766,"1,741",580
20-Aug,932,466,"5,048",721,"5,980",664
21-Aug,"2,413",603,"4,624",462,"7,036",503
22-Aug,,,"1,596",532,"1,596",532
23-Aug,,,"1,413",707,"1,413",707
24-Aug,,,"3,221",460,"3,221",460
25-Aug,"1,062",531,"4,020",502,"5,082",508
26-Aug,612,612,"4,818",482,"5,429",494
27-Aug,,,"4,324",432,"4,324",432
28-Aug,,,"4,966",552,"4,966",552
29-Aug,,,"1,518",759,"1,518",759
30-Aug,797,797,444,444,"1,241",621
31-Aug,466,466,"3,010",376,"3,477",386
1-Sep,575,575,"4,426",738,"5,001",714
2-Sep,,,"5,510",501,"5,510",501
3-Sep,"1,164","1,164","6,863",624,"8,027",669
4-Sep,,,"3,537",393,"3,537",393
5-Sep,,,834,417,834,417
6-Sep,,,234,234,234,234
7-Sep,569,569,592,592,"1,161",581
8-Sep,,,"5,245",477,"5,245",477
9-Sep,735,735,"5,186",519,"5,921",538
10-Sep,615,615,"5,272",527,"5,887",535
11-Sep,,,"5,492",785,"5,492",785
12-Sep,,,"1,191",397,"1,191",397
13-Sep,,,384,384,384,384
14-Sep,,,"3,661",610,"3,661",610
15-Sep,,,"2,783",398,"2,783",398
16-Sep,766,766,"4,811",802,"5,577",797
17-Sep,,,"2,713",452,"2,713",452
18-Sep,,,"1,719",344,"1,719",344
19-Sep,626,626,"1,076",538,"1,703",568
20-Sep,,,316,316,316,316
21-Sep,,,"3,948",493,"3,948",493
22-Sep,524,524,"8,876",634,"9,400",627
23-Sep,,,"5,755",822,"5,755",822
24-Sep,,,"5,116",639,"5,116",639
25-Sep,,,"1,822",364,"1,822",364
26-Sep,,,"1,410",470,"1,410",470
28-Sep,"1,083",542,"1,788",358,"2,872",410
29-Sep,"2,684","1,342","2,392",598,"5,076",846
30-Sep,"1,320",660,"2,565",366,"3,885",432
1-Oct,"1,128",564,"6,517",592,"7,644",588
2-Oct,"1,152","1,152","3,134",392,"4,286",476
3-Oct,,,446,446,446,446
5-Oct,"1,694",847,"3,484",435,"5,178",518
6-Oct,296,296,"4,874",542,"5,170",517
7-Oct,,,"3,015",503,"3,015",503
8-Oct,571,571,"6,958",580,"7,529",579
9-Oct,603,603,"6,287",572,"6,890",574
10-Oct,,,914,457,914,457
11-Oct,,,"1,167","1,167","1,167","1,167"
12-Oct,,,"3,579",511,"3,579",511
SLU-07,"32,384",635,"268,458",479,"300,842",492
1-Aug,,,333,333,333,333
2-Aug,,,"6,143","1,229","6,143","1,229"
