birthyear,(All),,,,,
,,,,,,
,Column Labels,,,,,
,Female,,Male,,Total Total trip time,Total Average trip time
Row Labels,Total trip time,Average trip time,Total trip time,Average trip time,,
10-Aug,"1,217",406,"2,515",503,"3,732",467
11-Aug,"1,823",608,"1,852",617,"3,674",612
12-Aug,,,"2,244",449,"2,244",449
13-Aug,436,436,"2,733",547,"3,169",528
14-Aug,,,"8,149","1,630","8,149","1,630"
15-Aug,363,363,309,309,672,336
16-Aug,496,496,553,553,"1,050",525
17-Aug,,,"1,867",467,"1,867",467
18-Aug,906,453,"3,071",512,"3,977",497
19-Aug,"3,199",533,"2,581",516,"5,781",526
20-Aug,,,"2,131",533,"2,131",533
21-Aug,989,495,"2,559",512,"3,548",507
22-Aug,,,"1,803",451,"1,803",451
24-Aug,,,"3,736",467,"3,736",467
25-Aug,,,"2,345",391,"2,345",391
26-Aug,"1,068",534,"1,432",477,"2,500",500
27-Aug,544,544,"2,604",521,"3,148",525
28-Aug,"1,676",838,"3,348",478,"5,024",558
29-Aug,,,"1,109","1,109","1,109","1,109"
31-Aug,,,"3,855",551,"3,855",551
1-Sep,894,894,"1,706",427,"2,600",520
2-Sep,"4,147","2,073","2,568",642,"6,714","1,119"
3-Sep,759,759,"2,780",695,"3,539",708
4-Sep,,,"2,423",346,"2,423",346
5-Sep,,,379,379,379,379
6-Sep,372,372,"1,108",554,"1,481",494
7-Sep,,,"1,065","1,065","1,065","1,065"
8-Sep,320,320,"1,269",423,"1,590",397
9-Sep,538,269,"1,658",414,"2,196",366
10-Sep,596,596,"2,365",473,"2,961",494
11-Sep,"1,165",388,"3,329",555,"4,493",499
12-Sep,,,841,841,841,841
14-Sep,"1,977",659,"1,353",451,"3,330",555
15-Sep,"1,407",703,"3,557",508,"4,963",551
16-Sep,"1,261",420,"2,810",562,"4,071",509
17-Sep,,,563,563,563,563
18-Sep,"1,096",548,"1,093",364,"2,188",438
21-Sep,,,"2,983",497,"2,983",497
22-Sep,"1,183","1,183","7,837",712,"9,020",752
23-Sep,"2,391",598,"3,069",438,"5,460",496
24-Sep,522,522,"2,149",537,"2,671",534
25-Sep,"2,599",650,"2,241",448,"4,840",538
26-Sep,,,"1,181",591,"1,181",591
27-Sep,,,317,317,317,317
28-Sep,898,898,"3,660",523,"4,559",570
29-Sep,,,353,353,353,353
30-Sep,645,323,"4,425",492,"5,070",461
1-Oct,484,484,"1,780",593,"2,265",566
2-Oct,,,"1,240",413,"1,240",413
4-Oct,,,267,267,267,267
5-Oct,,,"2,240",560,"2,240",560
6-Oct,,,"2,860",477,"2,860",477
7-Oct,,,"2,241",560,"2,241",560
8-Oct,370,370,"3,792",542,"4,162",520
9-Oct,,,"5,024",502,"5,024",502
11-Oct,356,356,404,404,760,380
12-Oct,297,297,"1,150",287,"1,447",289
CBD-05,"52,863",755,"143,817",609,"196,680",643
1-Aug,,,"3,637","1,819","3,637","1,819"
2-Aug,,,605,605,605,605
3-Aug,,,"2,714",678,"2,714",678
4-Aug,,,"2,270",568,"2,270",568
5-Aug,,,"3,635",519,"3,635",519
6-Aug,,,"2,752",550,"2,752",550
7-Aug,"1,465",732,"5,591",699,"7,056",706
8-Aug,"1,083","1,083","1,438",719,"2,521",840
9-Aug,,,639,639,639,639
10-Aug,"1,682","1,682","3,763",470,"5,445",605
11-Aug,"1,994",997,"3,881",554,"5,875",653
12-Aug,"1,771",886,"3,086",617,"4,857",694
13-Aug,"1,177",588,"2,095",524,"3,272",545
14-Aug,225,225,"2,276",455,"2,500",417
15-Aug,723,723,526,526,"1,249",624
16-Aug,,,"1,114",557,"1,114",557
17-Aug,566,566,605,605,"1,171",586
26-Aug,,,943,943,943,943
27-Aug,,,"2,128",709,"2,128",709
28-Aug,779,779,"1,152",576,"1,931",644
29-Aug,"1,130","1,130",717,717,"1,847",924
30-Aug,,,990,495,990,495
31-Aug,"3,661",915,"2,691",673,"6,352",794
1-Sep,,,"2,042",681,"2,042",681
2-Sep,,,"5,562",618,"5,562",618
3-Sep,"2,398",799,"3,401",680,"5,799",725
4-Sep,"1,341",670,"2,634",527,"3,975",568
5-Sep,,,"1,135",567,"1,135",567
6-Sep,,,509,509,509,509
7-Sep,,,"1,749",875,"1,749",875
8-Sep,,,"3,755",536,"3,755",536
9-Sep,585,585,"1,452",484,"2,037",509
10-Sep,"2,816",704,"2,304",768,"5,120",731
11-Sep,"1,382",691,"3,432",572,"4,814",602
12-Sep,,,"1,444",722,"1,444",722
13-Sep,875,875,912,912,"1,787",893
14-Sep,425,425,"5,546",924,"5,971",853
15-Sep,"1,427",714,"1,975",658,"3,402",680
16-Sep,"2,434",487,822,411,"3,256",465
17-Sep,,,"3,175",635,"3,175",635
18-Sep,711,711,"2,883",577,"3,594",599
19-Sep,,,"2,137","1,068","2,137","1,068"
