starttime,from_station_name,sum,,=YEAR(A2),MONTH(A2),"=ROUNDUP(MONTH(A2)/3,0)",HOUR(A2)
10/13/2014 18:31,Key Arena / 1st Ave N & Harrison St,908.417,,2014,10,4,18
10/13/2014 18:32,Cal Anderson Park / 11th Ave & Pine St,387.44,,2014,10,4,18
10/13/2014 18:32,Key Arena / 1st Ave N & Harrison St,864.301,,2014,10,4,18
10/13/2014 18:33,Key Arena / 1st Ave N & Harrison St,812.317,,2014,10,4,18
10/13/2014 18:33,Summit Ave & E Denny Way,301.087,,2014,10,4,18
10/13/2014 18:34,Key Arena / 1st Ave N & Harrison St,755.816,,2014,10,4,18
10/13/2014 18:36,7th Ave & Union St,837.468,,2014,10,4,18
10/13/2014 18:36,Dexter Ave & Denny Way,756.585,,2014,10,4,18
10/13/2014 18:36,E Blaine St & Fairview Ave E,2173.558,,2014,10,4,18
10/13/2014 18:38,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,1942.225,,2014,10,4,18
10/13/2014 18:41,7th Ave & Union St,3939.462,,2014,10,4,18
10/13/2014 18:43,7th Ave & Union St,3882.176,,2014,10,4,18
10/13/2014 18:44,Seattle University / E Columbia St & 12th Ave,517.315,,2014,10,4,18
10/13/2014 18:47,2nd Ave & Vine St,406.135,,2014,10,4,18
10/13/2014 18:47,UW Intramural Activities Building,1068.249,,2014,10,4,18
10/13/2014 18:48,UW Intramural Activities Building,1018.453,,2014,10,4,18
10/13/2014 19:11,PATH / 9th Ave & Westlake Ave,479.739,,2014,10,4,19
10/13/2014 19:14,Pier 69 / Alaskan Way & Clay St,1992.021,,2014,10,4,19
10/13/2014 19:26,REI / Yale Ave N & John St,1224.466,,2014,10,4,19
10/13/2014 19:28,Seattle University / E Columbia St & 12th Ave,653.949,,2014,10,4,19
10/13/2014 19:31,12th Ave & NE Campus Pkwy,468.738,,2014,10,4,19
10/13/2014 19:35,Frye Art Museum / Terry Ave & Columbia St,719.09,,2014,10,4,19
10/13/2014 19:38,E Pine St & 16th Ave,521.566,,2014,10,4,19
10/13/2014 19:41,15th Ave NE & NE 40th St,907.502,,2014,10,4,19
10/13/2014 19:41,Cal Anderson Park / 11th Ave & Pine St,228.725,,2014,10,4,19
10/13/2014 19:48,E Pine St & 16th Ave,1418.412,,2014,10,4,19
10/13/2014 19:51,Occidental Park / Occidental Ave S & S Washington St,2829.425,,2014,10,4,19
10/13/2014 20:02,Harvard Ave & E Pine St,389.422,,2014,10,4,20
10/13/2014 20:03,2nd Ave & Pine St,1167.243,,2014,10,4,20
10/13/2014 20:08,Summit Ave & E Denny Way,656.198,,2014,10,4,20
10/13/2014 20:09,7th Ave & Union St,1144.498,,2014,10,4,20
10/13/2014 20:25,Bellevue Ave & E Pine St,433.56,,2014,10,4,20
10/13/2014 20:29,Frye Art Museum / Terry Ave & Columbia St,1422.327,,2014,10,4,20
10/13/2014 20:29,UW Engineering Library / E Stevens Way NE & Jefferson Rd,3302.954,,2014,10,4,20
10/13/2014 20:31,REI / Yale Ave N & John St,419.888,,2014,10,4,20
10/13/2014 20:38,2nd Ave & Pine St,858.144,,2014,10,4,20
10/13/2014 20:41,E Harrison St & Broadway Ave E,981.334,,2014,10,4,20
10/13/2014 20:43,15th Ave E & E Thomas St,340.364,,2014,10,4,20
10/13/2014 20:57,Pine St & 9th Ave,1276.467,,2014,10,4,20
10/13/2014 21:04,Seattle University / E Columbia St & 12th Ave,1337.556,,2014,10,4,21
10/13/2014 21:06,15th Ave E & E Thomas St,311.645,,2014,10,4,21
10/13/2014 21:07,6th Ave & Blanchard St,831.546,,2014,10,4,21
